NAAM;RECHTSVORM;ADRES;POSTCODE;PLAATS;TRANSPORT MANAGER;VERGUNNING;GELDIG TOT;AANTAL;;
M.J. van Eeten-Vink, h.o.n. Vink Transport Winkel;Eenmanszaak;Dorpsstraat 17;1733 AD;NIEUWE NIEDORP;;EUR;01-01-18;2;;
E. Boomgaard Transport- en Kraanwagenbedrijf B.V.;BV;Damsluisweg 67;1332 EB;ALMERE;;EUR;01-01-18;5;;
Van der Bruggen Transport B.V.;BV;Woudseweg 47;5275 JJ;DEN DUNGEN;;EUR;14-11-18;1;;
Jan Snel B.V.;BV;Willeskop 94;3417 ME;MONTFOORT;;EUR;01-01-18;51;;
Transportbedrijf Van de Beek V.o.f.;VOF;Klaarwater 4;3871 KV;HOEVELAKEN;;EUR;01-01-18;1;;
P. de Jong, h.o.n. Fa. P. de Jong en Zn.;Eenmanszaak;Transportweg 18;2676 LL;MAASDIJK;;EUR;01-01-18;2;;
Transportbedrijf Gerrit de Kruijf B.V.;BV;Utrechtseweg 21;3992 LM;HOUTEN;;EUR;19-09-16;30;;
Ad Leijten Transport B.V.;BV;Hazeldonk 6281;4836 LG;BREDA;;EUR;21-02-16;10;;
Parts Express B.V.;BV;Stuartweg 10;4131 NJ;VIANEN;;EUR;29-11-15;12;;
Kroon Transport Alblasserdam B.V.;BV;Ampärestraat 34-36;2952 AA;ALBLASSERDAM;;EUR;01-01-18;27;;
Internationaal Transportbedrijf H.J. van Bentum B.V.;BV;Parallelweg 80;3931 MT;WOUDENBERG;;EUR;01-01-18;71;;
H.J. Meijer en Zonen Harfsen B.V.;BV;Schepersweg 5;7217 TH;HARFSEN;;EUR;01-01-18;9;;
Transportbedrijf en fouragehandel Van Pijkeren B.V.;BV;Kamperstraatweg 25;8278 AB;KAMPERVEEN;;EUR;08-02-20;6;;
A.C. Rijnberg Wegtransport B.V.;BV;Ambachtsstraat 1;4538 AV;TERNEUZEN;;EUR;01-01-18;48;;
Thomas Boers B.V.;BV;Dwarskulk 4;3151 ZD;HOEK VAN HOLLAND;;EUR;01-01-18;17;;
Dekker Auto Exploitatie Mij. B.V.;BV;IJsseldijk West 66;2935 AR;OUDERKERK A/D IJSSEL;;EUR;01-01-18;43;;
Van Dijk Expresse B.V.;BV;Franse Akker 15;4824 AL;BREDA;;EUR;01-01-18;27;;
Frits Nollgen Transportbedrijf B.V.;BV;Putgang 2;6461 EK;KERKRADE;;EUR;14-08-16;5;;
Spaansen Grondstoffen en Logistiek B.V.;BV;Scheidersweg 6;1731 LX;WINKEL;;EUR;01-01-18;57;;
Spaarnelanden N.V.;Naamloze vennootschap gewone structuur;Minckelersweg 40;2031 EM;HAARLEM;;NAT;;15;;
Rozendaal en Van der Kaaden B.V.;BV;Klappolder 225;2665 MR;BLEISWIJK;;EUR;01-01-18;1;;
Van Riemsdijk Verhuizingen B.V.;BV;Kuiperbergweg 48;1101 AG;AMSTERDAM ZUIDOOST;;EUR;01-01-18;6;;
C.M. Baars & Zn. B.V.;BV;Zijlkade 20  A;4243 JE;NIEUWLAND;;EUR;01-01-18;38;;
V.o.f. C.J. van den Berg en Zn.;VOF;De Vlotkampweg 64 66;6545 AG;NIJMEGEN;;EUR;03-02-18;2;;
E. van Wijk Logistics B.V.;BV;Expeditiestraat 14;4283 JG;GIESSEN;;EUR;01-01-18;130;;
Koning en Drenth B.V.;BV;Ulsderweg 2  A;9686 XX;BEERTA;;EUR;01-01-18;54;;
Dribo Beheersmaatschappij B.V.;BV;Deense Hoek 8;5737 PC;LIESHOUT;;EUR;06-01-18;1;;
Hellemons B.V.;BV;Avignonlaan 26 -28;5627 GA;EINDHOVEN;;EUR;07-06-15;2;;
V.o.f. Fa. K. de Jong & Zn.;VOF;Douwemastrjitte 44;9011 VT;IRNSUM;;EUR;01-01-18;3;;
Fred Prinsen B.V.;BV;Lage Maat 9;3961 NJ;WIJK BIJ DUURSTEDE;;EUR;28-06-15;17;;
De Graaf Verhuizingen en Opslag B.V.;BV;Berenkoog 83;1822 BN;ALKMAAR;;EUR;01-01-18;5;;
Internationaal Transportbedrijf Van Vliet B.V.;BV;Kamerlingh Onneslaan 22;3401 MZ;IJSSELSTEIN;;EUR;01-01-18;20;;
V.o.f. Fa. A.A. Venhovens;VOF;De Groote Heeze 31;6598 AV;HEIJEN;;NAT;;3;;
V.o.f. Fa. Van Voorthuijzen Internationale Tanktransporten;VOF;Rijksstraatweg 105  A;1396 JH;BAAMBRUGGE;;EUR;01-01-18;1;;
JCL Logistics Benelux B.V.;BV;Distributiestraat 5;7041 KJ;'s-HEERENBERG;;EUR;01-01-18;75;;
Niek Dijkstra Transport B.V.;BV;Jupiter 2 A;8448 CD;HEERENVEEN;;EUR;01-01-18;29;;
Concordia International Forwarding Corp.;Buitenl op EG-ven lijkende ven met hfdnederz in NL;Prestwickweg 42;1118 LB;SCHIPHOL;;EUR;08-11-15;1;;
Jan van der Weide en Zoon Transporten B.V.;BV;Middenraai 63;7912 TH;NIEUWEROORD;;EUR;01-01-18;9;;
Harteman Verhuur B.V.;BV;Zuiderhavenweg 46;4004 JJ;TIEL;;EUR;04-04-16;10;;
Remie Transport V.o.f.;VOF;Korte Loostraat 15  A;6851 MX;HUISSEN;;EUR;01-01-18;19;;
Jac. van der Vegt en Zonen B.V.;BV;Spoordwarsstraat 11 -13;8271 RD;IJSSELMUIDEN;;EUR;01-01-18;6;;
Transportbedrijf Gebr. Van Staalduinen B.V.;BV;Honderdland 220;2676 LV;MAASDIJK;;EUR;01-01-18;50;;
Gebroeders Pinckers B.V.;BV;Maastrichterweg 1;6301 BH;VALKENBURG;;EUR;07-04-18;1;;
Internationaal Transport- en Expeditiebedrijf H. Rensink B.V.;BV;Plesmanweg 29;7602 PD;ALMELO;;EUR;01-01-18;30;;
Fercam Nederland B.V.;BV;Stolwijkstraat 40;3079 DN;ROTTERDAM;;EUR;06-01-18;2;;
Mekes B.V.;BV;Wijngaardsweg 28;6412 PJ;HEERLEN;;EUR;20-01-18;10;;
Roijackers Betoncentrale en Handelsmaatschappij B.V.;BV;Hof 2;5763 BL;MILHEEZE;;NAT;;9;;
Otten Hoogeveen B.V.;BV;Voltastraat 41;7903 AA;HOOGEVEEN;;EUR;01-01-18;69;;
Internationaal Transportbedrijf A.L. Langen B.V.;BV;Business Park Stein 194;6181 MA;ELSLOO;;EUR;01-01-18;230;;
Peeters Montfort Beheer B.V.;BV;Huysbongerdweg 29;6065 CH;MONTFORT;;EUR;01-01-18;29;;
M. van Happen Transport B.V.;BV;Weijerbeemd 10;5651 GN;EINDHOVEN;;EUR;12-03-18;151;;
A.J.C.M. Oomen, h.o.n. A. Oomen Transport;Eenmanszaak;Terover 30;5131 RB;ALPHEN;;EUR;05-07-15;1;;
J & A Kraaijvanger B.V.;BV;Alfred Nobelstraat 5;5491 DB;SINT OEDENRODE;;EUR;10-01-16;10;;
Timtex Transport B.V.;BV;Radarweg 1;1042 AA;AMSTERDAM;;EUR;01-01-18;4;;
Bode Scholten B.V.;BV;Fokkerstraat 9;2722 NH;ZOETERMEER;;EUR;01-01-18;64;;
W.C. van Petegem, h.o.n. Wim van Petegem Transport & Verhuur;Eenmanszaak;Leidinglaan 7;4541 CT;SLUISKIL;;EUR;02-08-15;1;;
Expeditiebedrijf Jac. Vuik & Zn. B.V.;BV;Luijtenstraat 28;2941 CE;LEKKERKERK;;EUR;12-01-20;14;;
Transportbedrijf G. de Goede B.V.;BV;Maarsbergseweg 102  A;3931 JJ;WOUDENBERG;;EUR;01-01-18;19;;
Transportbedrijf Klarenbeek jr. B.V.;BV;Dunenkamperweg 4;3776 MT;STROE;;EUR;01-01-18;80;;
Internationaal Transportbedrijf Bloemendaal B.V.;BV;Transportweg 2;1619 BG;ANDIJK;;EUR;01-01-18;28;;
Van Hooft Transport B.V.;BV;Hogebrinkerweg 24-26;3871 KN;HOEVELAKEN;;EUR;01-01-18;9;;
P.J. Visser, h.o.n. P. Visser Transport;Eenmanszaak;Harlingerstraatweg 76;8916 BE;LEEUWARDEN;;EUR;01-01-18;1;;
V.o.f. Vos, Transportonderneming;VOF;Zwartsluisje 59;3284 LL;ZUID-BEIJERLAND;;EUR;29-12-19;2;;
Handels- en Internationale Transportonderneming L.A. Verkleij B.V.;BV;Diemerbroek 31;3464 HP;PAPEKOP;;EUR;01-01-18;20;;
Kuiken Expres B.V.;BV;Eckertstraat 1;8263 CB;KAMPEN;;EUR;01-01-18;7;;
Maurang Transporten B.V.;BV;Nieuwkuikseweg 44;5268 LH;HELVOIRT;;EUR;01-01-18;31;;
Transportbedrijf C. Groenenboom B.V.;BV;Nikkelstraat 65;2984 AM;RIDDERKERK;;EUR;01-01-18;46;;
V.o.f. Fa. M. Verwaal en Zoon;VOF;'t Vaartland 2;2821 LH;STOLWIJK;;EUR;14-07-18;2;;
Vervoerbedrijf E. Bakker & Zn. B.V.;BV;Handelsweg 26;3899 AB;ZEEWOLDE;;EUR;01-01-18;365;;
J.M. van Gaalen, h.o.n. Jos van Gaalen Transport;Eenmanszaak;Weverskade 128;3147 PA;MAASSLUIS;;EUR;25-05-19;1;;
Kruizinga Transport B.V.;BV;Vonderpad 44;9608 PG;WESTERBROEK;;NAT;;1;;
Heijboer Transport B.V.;BV;Boonsweg 14;3274 LH;HEINENOORD;;EUR;10-01-16;12;;
Internationaal Transportbedrijf Van Ewijk B.V.;BV;Bijsterhuizen 3102  C;6604 LV;WIJCHEN;;EUR;01-01-18;44;;
Mast B.V.;BV;Osloweg 133;9723 BK;GRONINGEN;;EUR;01-01-18;3;;
Transportbedrijf H.A. Lemans B.V.;BV;Oosteinde 115;7671 AV;VRIEZENVEEN;;EUR;01-01-18;70;;
Van den Broek Distributie B.V.;BV;Vossenbeemd 112;5705 CL;HELMOND;;EUR;01-01-18;1;;
B.V. Transportonderneming Zijderlaan;BV;Nijverheidsweg 10;2821 AT;STOLWIJK;;EUR;01-01-18;167;;
Internationaal Transportbedrijf A. van der Kooij B.V.;BV;Willem Beukelszoonstraat 9 A;3134 LV;VLAARDINGEN;;EUR;11-06-15;2;;
Zwerus Transport B.V.;BV;Spoorstraat 26  B;8271 RH;IJSSELMUIDEN;;EUR;01-01-18;20;;
Pustjens Internationale Expeditie en Verhuizingen B.V.;BV;Bellekeweg 23;6101 JZ;ECHT;;EUR;01-01-18;19;;
G.G. van der Meer, h.o.n. Bode van der Meer;Eenmanszaak;Klaverveld 281;2492 KD;'s-GRAVENHAGE;;NAT;;3;;
Expeditie- en Transportbedrijf Gebr. Krijnen B.V.;BV;De Hoge Brug 10;6581 AJ;MALDEN;;EUR;01-01-18;3;;
Versteijnen's Internationaal Transportbedrijf B.V.;BV;Zeusstraat 3;5048 CA;TILBURG;;EUR;01-01-18;96;;
Transpo Nuth B.V.;BV;Economiestraat 3;6361 KD;NUTH;;EUR;01-01-18;86;;
Koomen's Internationaal Transportbedrijf B.V.;BV;Nijverheidsweg 17;1693 AM;WERVERSHOOF;;EUR;01-01-18;56;;
Gebroeders Lafeber V.o.f.;VOF;Voorwillenseweg 101;2806 ZE;GOUDA;;EUR;17-11-19;4;;
V.o.f. Loonbedrijf Firma Jakobs;VOF;Heikampweg 3;5862 AR;GEIJSTEREN;;EUR;28-12-19;2;;
Hoogendoorn Transport B.V.;BV;Nieuwesluisweg 170;3197 KV;BOTLEK ROTTERDAM;;EUR;08-03-20;19;;
Transport- en Handelsbedrijf H.N. Post en Zn. B.V.;BV;Heulweg 13;2641 KP;PIJNACKER;;EUR;02-08-15;117;;
Verkooijen Transport Strijbeek B.V.;BV;Strijbeekseweg 48;4856 AB;STRIJBEEK;;EUR;01-01-18;10;;
V.o.f. M. Stolze en Zonen;VOF;J.H. van Kinsbergenstraat 19;2678 GD;DE LIER;;NAT;;2;;
Hereijgers Transport B.V.;BV;Parallelweg 3;4878 AH;ETTEN-LEUR;;EUR;01-01-18;40;;
Meeuwenoord Vervoer B.V.;BV;Victoriberg 18;2211 DH;NOORDWIJKERHOUT;;EUR;01-01-18;22;;
B.V. Centraal Bodehuis Wisman's Expeditie, h.o.n. Wisman Vervoercentrum Dordrecht;BV;Kelvinstraat 5;3316 GM;DORDRECHT;;EUR;02-07-17;49;;
Blankers Transport B.V.;BV;De Geer 11;4061 RP;OPHEMERT;;EUR;01-01-18;38;;
Jan Hofman Transport/Verhuizingen B.V.;BV;De Schutsluis 6;7681 KG;VROOMSHOOP;;EUR;01-01-18;15;;
V.o.f. L. Reedijk & Zonen;VOF;Westdijk 1;3271 LL;MIJNSHEERENLAND;;EUR;30-01-17;3;;
Sitra Nederland B.V.;BV;Sardiniâweg 4;1044 AE;AMSTERDAM;;EUR;01-01-18;78;;
Internationaal Transportbedrijf Balvert & Zonen B.V.;BV;Schoterhoek 59;2441 LC;NIEUWVEEN;;EUR;01-01-18;14;;
Internationaal Transport-, Op- en Overslagbedrijf Dorrestijn B.V.;BV;Nijverheidsweg 12;3762 ER;SOEST;;EUR;01-01-18;20;;
Internationaal Transportbedrijf Jan Dohmen B.V.;BV;Stationsweg 78 A;6075 CD;HERKENBOSCH;;EUR;01-01-18;40;;
Internationaal Transportbedrijf J. van den Broek Veghel B.V.;BV;Rijksweg 5;5462 XB;VEGHEL;;EUR;01-01-18;6;;
V.o.f. Fa. P. Boers & Zn.;VOF;Jan van de Laarweg 2;2678 LH;DE LIER;;EUR;03-05-20;7;;
Hoekstra Idskenhuizen B.V.;BV;Stripedyk 2  A;8523 NB;IDSKENHUIZEN;;EUR;01-01-18;18;;
Gebr. de Wit B.V.;BV;Weg en Bos 23-25;2661 DL;BERGSCHENHOEK;;EUR;03-05-17;2;;
C.Z.B. Wegtransport B.V.;BV;Zuidzijde 1;2411 RP;Bodegraven;;NAT;;3;;
Hogenhout Transport Groep B.V.;BV;Zijdelweg 19;1187 ZM;AMSTELVEEN;;EUR;01-01-18;3;;
V.O.F. Kraan- Overslag- en Transportbedrijf Visser;VOF;Provincialeweg Oost 35;2851 AA;HAASTRECHT;;NAT;;8;;
G.P. Roos Zand en Grint B.V.;BV;Krommedijk 13 A;3214 LH;ZUIDLAND;;NAT;;7;;
C. Heuvelman en Zn. B.V.;BV;Lekdijk 45;2921 AC;KRIMPEN A/D IJSSEL;;NAT;;10;;
Wester Transport Eindhoven B.V.;BV;Ekkersrijt 7604;5692 HP;SON;;EUR;01-01-18;51;;
M. Hak, h.o.n. Transportbedrijf M. Hak;Eenmanszaak;Lekdijk 71;2957 CD;NIEUW LEKKERLAND;;EUR;17-03-18;2;;
Snellen's Transport B.V.;BV;Oude Holleweg 36;3927 CM;RENSWOUDE;;EUR;01-01-18;19;;
J. Hoek, h.o.n. Transportbedrijf J. Hoek;Eenmanszaak;Driebanweg 2;1607 ML;HEM;;EUR;01-01-18;10;;
Transportbedrijf en Brandstoffenhandel A. van der Elst V.o.f.;VOF;1e Tochtweg 42;2913 LP;NIEUWERKERK A/D IJSSEL;;EUR;01-01-18;24;;
H. Veldhuizen Transport B.V.;BV;Diederik Sonoyweg 7;1509 BR;ZAANDAM;;EUR;01-01-18;55;;
V.o.f. De Jong's Expeditie;VOF;Nachtegaallaan 38;2665 EH;BLEISWIJK;;EUR;01-01-18;22;;
Van Huet Glastransport B.V.;BV;Rijksweg 4;6596 AB;MILSBEEK;;EUR;01-01-18;28;;
V.o.f. Hoekse Waardse Transportonderneming H.W.T.O.;VOF;Ambachtstraat 3;3284 XW;ZUID-BEIJERLAND;;EUR;14-12-19;1;;
Geuze Transport B.V.;BV;Langeweg 19;4697 RE;SINT ANNALAND;;EUR;01-01-18;28;;
B.V. Hillegomse Transportonderneming;BV;Marconistraat 7;2181 AK;HILLEGOM;;NAT;;21;;
Phil Hoogendoorn Transport V.o.f.;VOF;Bermweg 32 B;3059 LA;ROTTERDAM;;EUR;14-02-16;3;;
J. Heebink Internationaal Transport- en Expeditiebedrijf B.V.;BV;Kruisboog 14;3905 TG;VEENENDAAL;;EUR;01-01-18;100;;
V.o.f. G. Hylkema;VOF;Harichsterdijk 44;8571 RM;HARICH;;EUR;08-03-20;2;;
V.o.f. Benedictus Transporten;VOF;B.R. Veltmanwei 4;9261 ZC;OOSTERMEER;;EUR;20-01-18;2;;
Berg Transporten B.V.;BV;Hearrewei 15  B;9073 GA;MARRUM;;EUR;01-01-18;6;;
Wetra European Distribution Centre B.V.;BV;De Afslag 27;7833 HW;NIEUW-AMSTERDAM;;EUR;06-01-18;30;;
C.J.P.M. Voeten;Eenmanszaak;Nijverheidsweg 24;4731 CZ;OUDENBOSCH;;EUR;01-01-18;1;;
V.o.f. Firma P. de Jong & Zonen;VOF;Leerbroekseweg 24;4245 KT;LEERBROEK;;EUR;22-10-17;10;;
H.C. Kortlever, h.o.n. Kortlever Fourage;Eenmanszaak;Middelkoop 23;4245 TR;LEERBROEK;;NAT;;1;;
Verhuis- en Transportbedrijf W.L. Hoebert en Zoon B.V.;BV;Stammerkamp 6;1112 VH;DIEMEN;;EUR;01-01-18;3;;
Garage- en Transportbedrijf Marsman B.V.;BV;De Grote Kranerweerd 4;8064 PE;ZWARTSLUIS;;EUR;01-01-18;21;;
Kruiswijk Transport B.V.;BV;Oost-Vlisterdijk 32;2855 AD;VLIST;;EUR;24-10-17;17;;
Leeflang Cleaning & Transport B.V.;BV;Metaalhof 15;3067 GM;ROTTERDAM;;NAT;;6;;
C.G. Zonneveld B.V.;BV;Rietlanden 6;1948 NE;BEVERWIJK;;EUR;01-01-18;17;;
Wingens Transport B.V.;BV;Rijksweg 34  A;5374 RB;SCHAIJK;;EUR;01-01-18;13;;
Expeditiebedrijf Lodder B.V.;BV;Oudelandsedijk 45;3216 AR;ABBENBROEK;;EUR;20-12-15;15;;
Van Leeuwen Container Service B.V.;BV;Gooikensdam 1;4905 BM;OOSTERHOUT;;EUR;01-01-18;77;;
Breewel Transport B.V.;BV;Nijverheidsweg 40;3641 RR;MIJDRECHT;;EUR;01-01-18;194;;
V.o.f. Firma D. Schipper & Zn. Verhuis- en Expeditiebedrijf, h.o.n. Fa. D. Schipper en Zn.;VOF;Ida Gerhardtstraat 57;1822 MG;ALKMAAR;;EUR;01-01-18;2;;
P. van Wees Transport B.V.;BV;Burgemeester Versteeghsingel 22  D;1135 VV;EDAM;;EUR;01-01-18;22;;
C.H. Dekker & Zn. Expediteurs B.V.;BV;Dorpstraat 81  A;1452 PJ;ILPENDAM;;EUR;01-01-18;33;;
Omega Containertransport Den Haag B.V.;BV;Prisma 10;2495 AR;'s-GRAVENHAGE;;NAT;;14;;
V.o.f. Firma P. Oost & Zoon;VOF;Dorpsweg 50;3253 AH;OUDDORP;;NAT;;12;;
Belga's Internationaal Transport V.o.f.;VOF;Transportweg 3;9301 ZX;RODEN;;EUR;01-01-18;19;;
Gebr. Henken Veenendaal B.V.;BV;Kernreactorstraat 26;3903 LG;VEENENDAAL;;NAT;;1;;
Baetsen Internationaal Transport B.V.;BV;Locht 100;5504 RP;VELDHOVEN;;EUR;01-01-18;45;;
Fourage en Transportbedrijf Jo van de Ven V.o.f.;VOF;Driehoek 17;5091 KA;OOST WEST EN MIDDELBEERS;;EUR;01-01-18;1;;
W. van Ooijen, h.o.n. Van Ooijen Transport;Eenmanszaak;Molendijk 120;3361 EP;SLIEDRECHT;;EUR;01-01-18;5;;
Omtzigt Bouwmaterialen B.V.;BV;Maessloot 5 A;2231 PX;RIJNSBURG;;EUR;04-06-18;2;;
Bemutrans B.V.;BV;Energieweg 18;2964 LE;GROOT-AMMERS;;EUR;01-01-18;10;;
Internationaal Transportbedrijf J. Vos en Zn. B.V.;BV;P v M Gelderland Blauw 13;6666 LR;HETEREN;;EUR;01-01-18;4;;
H. Essers Transport Company Nederland B.V.;BV;John F. Kennedylaan 42;5555 XD;VALKENSWAARD;;EUR;01-01-18;142;;
Holten Internationale Transporten B.V.;BV;De Koumen 74;6433 KE;HOENSBROEK;;EUR;01-01-18;12;;
Muezerie Beheer B.V.;BV;Valkenboskade 596;2563 JN;'s-GRAVENHAGE;;EUR;15-10-19;1;;
C.P. Moerkerken, h.o.n. Transportbedrijf C.P. Moerkerken;Eenmanszaak;Wesdijkleede 66;2991 WX;BARENDRECHT;;NAT;;1;;
G. de Jong en Zn. B.V.;BV;Weteringweg 1 A;2641 KM;PIJNACKER;;NAT;;5;;
A. de Bruijn, h.o.n. Transportbedrijf A. de Bruijn;Eenmanszaak;IJsseldijk 333;2922 BJ;KRIMPEN A/D IJSSEL;;EUR;05-05-18;1;;
M.N.O. Vervat Transport B.V.;BV;Nijverheidstraat 68;2901 AR;CAPELLE A/D IJSSEL;;EUR;29-06-15;14;;
C. Maat Transport B.V.;BV;Bunschotenweg 58;3089 KC;ROTTERDAM;;EUR;28-08-16;10;;
D.A. van Leeuwen en Zoon B.V.;BV;Madame Curiestraat 2;2171 TW;SASSENHEIM;;EUR;19-05-18;8;;
Wester Transport B.V.;BV;Eekhorstweg 30;7942 KC;MEPPEL;;EUR;02-06-18;13;;
Heisterkamp Transport B.V.;BV;Hanzepoort 7;7575 DB;OLDENZAAL;;EUR;01-01-18;400;;
Hurkmans Transport- en Handelsmaatschappij B.V.;BV;Lage Akkerweg 4;5711 DC;SOMEREN;;EUR;29-05-16;40;;
Internationaal Transportbedrijf Nillezen B.V.;BV;Stationsweg 1;5441 AG;OEFFELT;;EUR;01-01-18;48;;
Van Putten Auto Service B.V.;BV;Neijesteinseweg 31;4124 AT;HAGESTEIN;;EUR;21-08-17;2;;
Jan de Rijk Retail B.V.;BV;Reykjavikweg 2;1118 LK;SCHIPHOL;;EUR;01-01-18;45;;
Timmerman Transporten Staphorst B.V.;BV;Wethouder Klompstraat 4;7951 SC;STAPHORST;;EUR;01-01-18;40;;
Joka B.V.;BV;Noordweegseweg 21;4458 AT;'s-HEER ARENDSKERKE;;EUR;01-01-18;10;;
W.M. Blok Internationale Transporten B.V.;BV;Carrouselweg 4;3225 LN;HELLEVOETSLUIS;;EUR;01-01-18;34;;
Van der Molen Transport Heerhugowaard B.V.;BV;Nobelstraat 5;1704 RM;HEERHUGOWAARD;;EUR;01-01-18;28;;
Gobe B.V.;BV;Marienwaard 36;6222 AN;MAASTRICHT;;EUR;01-01-18;3;;
Internationaal Transportbedrijf Benny Looze B.V.;BV;Marconistraat 21;7575 AR;OLDENZAAL;;EUR;01-01-18;5;;
Jan Bakker Transport B.V.;BV;Vreeweg 15;8095 PJ;'t LOO OLDEBROEK;;EUR;06-01-18;61;;
Internationaal Verhuis- en Transportbedrijf W. van Haarlem B.V.;BV;Strijkviertel 15;3454 PH;DE MEERN;;EUR;01-01-18;2;;
V.o.f. L.T.C. (Leo de Jager Transport);VOF;Tiendweg West 30 A;2941 ER;LEKKERKERK;;EUR;19-09-17;2;;
R. Vos Transporten B.V.;BV;Schutsboomstraat 69  A;5374 CB;SCHAIJK;;EUR;01-01-18;36;;
Bodedienst W. Heymans B.V.;BV;Turfkade 8;3231 AR;BRIELLE;;EUR;13-10-19;5;;
Verhuisbedrijf Henneken B.V.;BV;Goudstraat 51;2718 RD;ZOETERMEER;;EUR;01-01-18;7;;
V.o.f. Handels- en Transportbedrijf Van Halem;VOF;Bekestein 41;3343 CA;HENDRIK IDO AMBACHT;;EUR;31-07-16;7;;
Ha-Wa-Move V.o.f., h.o.n. Firma P.J. van der Wansem;VOF;Tauber 39-41;2491 DB;'s-GRAVENHAGE;;EUR;07-07-19;3;;
Wijnia Transportbedrijf B.V.;BV;Snelliusstraat 17;3846 BT;HARDERWIJK;;EUR;01-01-18;8;;
V.o.f. F.A. de Groot;VOF;Weverwijk 10;4245 KW;LEERBROEK;;EUR;01-01-18;5;;
N.G.J. de Groot, h.o.n. Fa. N.G. de Groot en Zoon;Eenmanszaak;Zouwendijk 151;4231 CD;MEERKERK;;EUR;05-02-17;5;;
Transportbedrijf P.J. van der Gaag en Zn. B.V.;BV;Honkongstraat 9;3047 BR;ROTTERDAM;;EUR;01-01-18;11;;
Wigchers Internationaal Transport B.V.;BV;Maatschappijweg 12;7848 AM;SCHOONOORD;;EUR;01-01-18;85;;
C. van den Brink Transporten B.V.;BV;Edisonweg 24;3899 AZ;ZEEWOLDE;;EUR;01-01-18;35;;
D.J. Middelkoop en Zonen Nieuw Vennep B.V.;BV;Lireweg 3-7;2153 PH;NIEUW-VENNEP;;EUR;01-01-18;49;;
Transportbedrijf C. Dubbeldam B.V.;BV;Van Graftstraat 17 unit 1.17;3088 GL;ROTTERDAM;;EUR;10-03-19;8;;
M.W. van der Ham, h.o.n. Fa. Van der Ham, Expediteurs;Eenmanszaak;Van Polanenpark 236;2241 RX;WASSENAAR;;EUR;01-01-18;2;;
Slager & Zandbergen Transport Vlaardingen B.V.;BV;4e Industriestraat 52;3133 EK;VLAARDINGEN;;EUR;03-02-18;11;;
A.G. van Geffen Transportbedrijf B.V.;BV;Baronieweg 4;5321 JW;HEDEL;;EUR;01-01-18;38;;
Recycling Kampen Containers en Transport B.V.;BV;Haatlandhaven 19;8263 AS;KAMPEN;;EUR;01-01-18;19;;
Rien van den Bogerd B.V.;BV;Hoeksekade 138;2661 JL;BERGSCHENHOEK;;EUR;01-01-18;15;;
Transportbedrijf A. de Bruijn Giessenburg B.V.;BV;Binnendamseweg 74;3381 GD;GIESSENBURG;;EUR;08-03-20;7;;
J.J.M. Kleijweg, h.o.n. Jan Kleyweg Handelsonderneming;Eenmanszaak;Hoornsekade 15;2635 HA;DEN HOORN;;NAT;;1;;
Transportbedrijf D.H. de Bruin B.V.;BV;Hei- en Boeicopseweg 170;4126 RM;HEI- EN BOEICOP;;EUR;12-04-19;3;;
Expeditiebedrijf G. Faassen B.V.;BV;Amsteleindstraat 122;5345 HB;OSS;;EUR;01-01-18;3;;
H.J. Dammes Damtrans B.V.;BV;Alfred Nobelstraat 18;2665 KZ;BLEISWIJK;;EUR;01-01-18;1;;
Thijssen Schreuders Meubeltransport B.V.;BV;Homoetsestraat 72;4024 HJ;ECK EN WIEL;;EUR;31-07-18;17;;
V.O.F. Transportbedrijf A. Bor;VOF;Hoge Giessen 4;4221 MA;HOOGBLOKLAND;;NAT;;1;;
De-Ge Transport B.V.;BV;Strangenweg 7;7731 GV;OMMEN;;EUR;28-06-16;25;;
H.J.B. Angenent, h.o.n. Fa. C. Angenent en Zn.;Eenmanszaak;Korteraarseweg 92;2461 GN;TER AAR;;NAT;;1;;
Expeditie Thijs B.V.;BV;Havenweg 10;6006 SM;WEERT;;EUR;01-01-18;37;;
Ambrosius Transporten B.V.;BV;Industrieweg 41;7903 AJ;HOOGEVEEN;;EUR;01-01-18;86;;
MTS Holding B.V.;BV;Bosmanskamp 73 -75;4191 MT;GELDERMALSEN;;EUR;01-01-18;2;;
C.V. Firma M. Oosterom en Zn.;Commanditaire venn. met meerdere beh. vennoten;Middelburgseweg 21;2811 PM;REEUWIJK;;EUR;03-05-20;4;;
R.H.M. Janssens, h.o.n. Groepagedienst R.H.M. Janssens;Eenmanszaak;Eilandstraat 69;3351 AB;PAPENDRECHT;;EUR;23-02-20;5;;
C.J. Henrich, h.o.n. Tot Uw Dienst;Eenmanszaak;Oostpolderweg  4;2841 DA;MOORDRECHT;;NAT;;3;;
Transportbedrijf Muijs-Roks B.V.;BV;Roosendaalseweg 13;4711 RR;SINT WILLEBRORD;;EUR;01-01-18;11;;
A. van der Meulen Transport B.V.;BV;Het Helmhout 10;9206 AZ;DRACHTEN;;EUR;01-01-18;36;;
V.o.f. Transportbedrijf Leunissen;VOF;Mgr. Buckxstraat 4;6121 KV;BORN;;EUR;01-01-18;4;;
E. van Diemen Sloop B.V.;BV;Admiraal Banckertweg 32;2315 SR;LEIDEN;;NAT;;3;;
H.S. Transporten B.V.;BV;Meijelseweg 53;5725 RG;HEUSDEN;;EUR;16-02-18;8;;
