NAAM;RECHTSVORM;ADRES;POSTCODE;PLAATS;TRANSPORT MANAGER;VERGUNNING;GELDIG TOT;AANTAL;;
J.H. Kootstra B.V.;BV;Bargerkampenweg 29;7812 BV;EMMEN;H.L.  Kootstra;EUR;01-01-18;4;;
Jac. Knol Transport en Materieel Verhuur B.V.;BV;It Patroan 5;8491 PK;AKKRUM;H.  Hartmans;EUR;22-03-20;6;;
Van der Wiel Transport B.V., h.o.n. KTF Transport;BV;Meerpaal 11;9206 AJ;DRACHTEN;K. van der Wiel;EUR;08-03-20;70;;
UTS Van den Berg Verhuizingen B.V.;BV;Takkebijsters 10;4817 BL;BREDA;A.P.  Meeus;EUR;01-01-18;4;;
Transportbedrijf Gebr. Kalk V.o.f. ;VOF; A. Einsteinlaan 35;9615 TE;KOLHAM;J.J. Kalk;NAT;;9;;
V.O.F.  Jonker Transport;VOF;Kwekersweg 16;9982 KA;UITHUIZERMEEDEN;H.  Jonker-Prins;EUR;08-03-20;2;;
V.o.f. Fa. H. Kamphuis en Zonen;VOF;Middenweg 63;9645 BB;VEENDAM;M.A.  Kamphuis-Grimmenga;EUR;02-06-18;6;;
V.O.F. De Jong & Romkema;VOF;Compagnonsfeart 43;8409 CS;HEMRIK;K. de Jong-Lenos;NAT;;1;;
Tj. de Jong;Eenmanszaak;Bewaarschoolstraat 13;8748 AN;WITMARSUM;T. de Jong;NAT;;1;;
W. de Jong, h.o.n. W. de Jong Transport;Eenmanszaak;Lustenburg 47;9283 TK;SURHUIZUM;W. de Jong;EUR;17-05-15;1;;
Antonisen Internationaal Transport B.V.;BV;Industrieweg 21;4731 SB;OUDENBOSCH;A.D.C.H.  Hopstaken;EUR;01-01-18;12;;
Transportbedrijf Hellinga V.o.f.;VOF;Rinia van Nautaweg 81;9061 AD;GYTSJERK;P.  Hellinga;EUR;16-01-19;3;;
Autotransport- en Garagebedrijf W. van der Meyden B.V.;BV;Hoogewaard 225;2396 AS;KOUDEKERK A/D RIJN;W. van der Meijden;EUR;01-01-18;30;;
J. Hartog, h.o.n. Transportbedrijf J. Hartog;Eenmanszaak;Pruimlaan 6;9917 PL;WIRDUM;J.  Hartog;EUR;01-01-18;1;;
Haarsma Transport B.V.;BV;Waltaweg 6;8765 LP;TJERKWERD;U.S.  Haarsma;EUR;17-02-18;7;;
Aannemersbedrijf Grashuis B.V.;BV;Boven Westerdiep 29;9641 LA;VEENDAM;A.M.  Grashuis;NAT;;1;;
V.o.f. Firma C. de Graaf en Zonen;VOF;Kruisstraat 14;7981 AR;DIEVER;C. de Graaf;EUR;03-11-18;2;;
V.o.f. Kelderhuis en Zn.;VOF;Middenweg 109;8538 RA;BANTEGA;J.A.C.M. de Kelderhuis-de Jong;EUR;02-06-18;3;;
V.O.F. L. Engels;VOF;Onstwedderweg 18;9663 BA;NIEUWE PEKELA;L.  Engels;NAT;;1;;
B.V. Vervoer en Autobedrijf Darvi;BV;Blankenweg 11;4612 RC;BERGEN OP ZOOM;A.P.  Meeus;EUR;01-01-18;82;;
E.S.F. de Letter B.V.;BV;Drieschouwen Zuid 27;4571 RV;AXEL;G.C.J. de Letter;EUR;01-01-18;3;;
V.o.f. Firma R.B. Danhof en Zoon;VOF;Emmastraat 11;9953 RA;BAFLO;H.  Danhof;EUR;13-12-15;1;;
